Rank	Feature name	p-value	q-value	Direction	FeatureSum (%)	T2D metformin+ vs T2D metformin- q-value	ND CTRL vs T2D metformin- q-value	Superkingdom	Phylum	Class	Order	Family	Genus	Species
310	motu_linkage_group_497	0.835854916	0.929723475	NA	0.040615828			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
311	motu_linkage_group_277	0.837153105	0.929723475	NA	0.171102129			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
312	motu_linkage_group_87	0.839248582	0.929723475	NA	0.143186373			Bacteria	Firmicutes	?	?	?	?	?
313	Cluster1053	0.841050427	0.929723475	NA	0.219977482			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	unnamed Alistipes sp. HGB5
314	motu_linkage_group_68	0.851438136	0.936629457	NA	0.047126778			Bacteria	Firmicutes	Clostridia	?	?	?	?
315	motu_linkage_group_248	0.852711789	0.936629457	NA	0.058675686			Bacteria	Firmicutes	?	?	?	?	?
316	motu_linkage_group_471	0.86047716	0.940950333	NA	0.107344827			Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	?
317	motu_linkage_group_306	0.864075089	0.940950333	NA	0.533795924			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
318	motu_linkage_group_344	0.864804063	0.940950333	NA	0.095244755			Bacteria	Firmicutes	?	?	?	?	?
319	Cluster468	0.86956527	0.943164839	NA	0.108926879			Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Parasutterella excrementihominis
320	motu_linkage_group_536	0.880140198	0.951651589	NA	0.747821731			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
321	motu_linkage_group_45	0.890717591	0.960088119	NA	0.028979431			Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	?
322	motu_linkage_group_508	0.894498765	0.961169481	NA	0.12498881			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	?
323	motu_linkage_group_37	0.902571568	0.964237273	NA	0.118070785			Bacteria	Bacteroidetes	?	?	?	?	?
324	Cluster1375	0.902927389	0.964237273	NA	0.124454902			Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus
325	motu_linkage_group_307	0.906277055	0.964836495	NA	0.211397164			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
326	Cluster1091	0.913517238	0.967789393	NA	0.149101983			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
327	Cluster1276	0.915435618	0.967789393	NA	0.018914214			Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	?	Eubacterium cylindroides
328	motu_linkage_group_672	0.918422826	0.967789393	NA	0.075520878			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
329	Cluster1089	0.921679668	0.967789393	NA	0.532855459			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides merdae
330	Cluster1358	0.923036126	0.967789393	NA	0.002980842			Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella adiacens
331	motu_linkage_group_638	0.928203795	0.970267411	NA	0.267507539			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	?
332	Cluster971	0.933687173	0.973059524	NA	0.007749948			Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium
333	motu_linkage_group_251	0.936850606	0.973424353	NA	0.177805314			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	?	?
334	motu_linkage_group_28	0.941741534	0.975576559	NA	0.124203651			Bacteria	Firmicutes	?	?	?	?	?
335	motu_linkage_group_389	0.947592952	0.975878881	NA	0.142726839			Bacteria	?	?	?	?	?	?
336	motu_linkage_group_54	0.947674289	0.975878881	NA	0.119036271			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
337	Cluster1104	0.953071049	0.976288224	NA	6.149964332			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei_vulgatus
338	motu_linkage_group_118	0.953715086	0.976288224	NA	0.083991791			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
339	motu_linkage_group_463	0.961833566	0.978897558	NA	0.024149756			Bacteria	Firmicutes	?	?	?	?	?
340	motu_linkage_group_575	0.962606848	0.978897558	NA	0.020209122			Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella	?
341	Cluster1098	0.96475164	0.978897558	NA	1.678630823			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris
342	Cluster1659	0.972511662	0.980629262	NA	0.270378458			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens
343	Cluster1619	0.97507154	0.980629262	NA	0.066035988			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	[Ruminococcus] obeum
344	Cluster1081	0.975963859	0.980629262	NA	6.141224739			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri
345	motu_linkage_group_414	0.977795073	0.980629262	NA	0.057217189			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
346	motu_linkage_group_316	0.981873756	0.981873756	NA	0.668340202			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
